"English","Wolaytta"
"He","Association is abbreviated, it becomes W.D.A.%● I ba xuufiya qanttiis."
"I have summarized the passage into a short","nibaabiya menttuwayyoo qanttaas."
"The second","summarizing it%● Ha maxaafaasssi naa''antto attamissoy qaammis."
"A: What time is","saatiya%1. noun%► watch; clock%● A: Sa'ay ha""i woqqu saatee?"
"B: Excuse me, I haven't got a","it, now?%● B: Taassa gido, saatee oykkabeykke."
"An hour has sixty minutes.","watch.%► hour%● Issi saatee usuppun tammu daqiiqa."
"It is a quarter to an hour.","%● Issi saatiyawu missay attiis."
"Hurry up, don't waste our time.","nu saatiya xuuggoppa."
"Wake up! It is time to go.%(syn) [sa'aa, wodiya.]","gakkiis."
"No one is above the law.","society must obey%● Ooninne seeraappe bolla gidenna."
"You should obey the law.","%● Neeni seerawu azazettanawu bessees"
"The punishment should fit the crime.%(syn) [qaxxayuwa, edayuwa.]","bessiis."
"The traffic police woman gave the taxi driver a","wolqqaama seeraa immaasu."
"Let me change my","invert%● Ane ta beeruwa baanawu hiitta maayuwa laammays."
"The world is changing. Things never stay the same.","gididi gam""okkona."
"He modified his position on the issue.","yo'uwa bolla bari qofaa laammiis."
"Passing time with good","Payya asaara wodiya aattiyogee assi eeshshaa laammiis."
"The Word of God teaches that","qaalay laammiyogee nagara giidi tamaarissees."
"I went up the hill first and he followed me.","kiyin, I tana kaalliis."
"The dog goes after its master.","ba godaa kaallees."
"The students, who","oottiya tamaareti, yunversttiyan timirttiya kaalloosona."
"How long have you been attending this school?","ay keena kaalladii?"
"The government","up, support%● Kawotay dichchaa oosuwa keehippe kaallees."
"I used to watch plasma screen when I","taani pilaazimaa televizhiiniya kaallaas."
"Now you must apply the","ekkido eraa ha''i oosuwan peeshshanawu koshshees."
"Why don't you accept the elders'","Neeni ayssanaw cima asaa zoriya ekkikii?"
"She has ugly behavior so nobody","de'iyo gishshataassi O asi ekkanaw koyenna."
"Whom will you","wants to marry her.%● Ne diccada asa gammi gakkada oona ekuutee?"
"Now you must apply the","ekkido eraa ha''i oosuwan peeshshanawu koshshees."
"Why don't you accept the elders'","Neeni ayssanaw cima asaa zoriya ekkikii?"
"She has ugly behavior so nobody","de'iyo gishshataassi O asi ekkanaw koyenna."
"Whom will you","wants to marry her.%● Ne diccada asa gammi gakkada oona ekuutee?"
"This pair of trousers suits you.","giigees."
"Don't go far. The lunch is ready.","Laaxay giigiis/kiyiis."
"A clever student is well prepared","wurssetta paaciya ekkanaw giigeti uttiis."
"She is engaged.","ekkiis, maayiis]%► be engaged to marry%● A geluwaw giigaasu."
"a bad person/an evil man","asa"
"The ugly cow was difficult to","shapeless%● Iitiya miizziya bayzuwaw wayssawsu."
"He was a menacingly fast driver.","laaggiyagaa."
"She always","I am wearing my best clothes today.%● A muletoo karettaa maayawusu."
"He was dressed in a","wears black.%● I bootta liino kumetta maayuwa maayiis."
"Most of the earth's surface is covered by","dariya baggay haattaa maayi uttiis."
"The earth is covered by clouds.","water.%● Biittay shaaraa maayiis."
"He agreed with them","consent%● Laamee koshshiyogaassi I etaara maayettiis."
"You were wrong to insult me in front of the others","sinttan cayada mooradasa."
"He dirtied his hands while working on his car.","oottiiddi kushiya mooriis."
"The strong wind damaged the house.","Wolqqaama carkkoy keettaa mooriis."
"The flood waters ruined the maize.","haattay badalaa mooriis."
"If you smoke cigarettes, you will ruin","sarbbikko, ne payyatettaa mooraasa."
"He dirtied his hand with mud.%","your health.%● I ba kushiya torqquwan mooriis."
"I met her in the church","iira aadhdhida Wogga galla woossakeettan gayttaas."
"Come here and join","last Sunday.%● Ha yaada nu toho kuwaasiya kaassan gaytta."
"How","in our game of football.%● Neleemiso haasayay waani nu haasayaara gayttii?"
"We","does the proverb relate to our conversation?%● Nu issoy issuwara gayttida."
"My heifer mated with an ox.","sexual intercourse%● Ta ussiya booran gayttaasu."
"Oil and water do not mix.","become mixed%● Zayteenne haattay gayttenna."
"I met her in the church","iira aadhdhida Wogga galla woossakeettan gayttaas."
"Come here and join","last Sunday.%● Ha yaada nu toho kuwaasiya kaassan gaytta."
"How","in our game of football.%● Neleemiso haasayay waani nu haasayaara gayttii?"
"We","does the proverb relate to our conversation?%● Nu issoy issuwara gayttida."
"My heifer mated with an ox.","sexual intercourse%● Ta ussiya booran gayttaasu."
"Oil and water do not mix.","become mixed%● Zayteenne haattay gayttenna."
"Unless you tell me to stop, I will continue to write.","essikke."
"Please, don't mention","hanno oossinne odoppa; neeppenne taappenne kare kiyoppo."
"Believe me there isn't anyone who will","oonnee xaaciyawu odana asi baawa."
"I'll report you to the police if I catch you stealing again.%(syn)","yootana."
"I recommend you that read this book.%(syn) [yootiis.]","mala taani neessi odays."
"Don't throw the pen to him; give it to him!","efaada imma!"
"Would you throw me the comb?%(syn) [tinni oottiis,","baxxariyo haa oluutee?"
"Our chickens lay eggs everyday.","kuttoti ubba galla phuuphulliya oloosona."
"The army fought","fight; battle%● Wotaadaray shooro biittaa wotaadarata oliis."
"He left that issue to me to do what I want.","ta bolli oliigiis."
"He disrespects himself by wearing","I pattenna maayuwa maayiiddi bana olees."
"Winter is approaching.","gakkanawu haa shiiqiiddi dees."
"The lion approached the zebras from behind a","baggaara harddiidatukko shiiqiis."
"Do not come near me. I am ill.","tree.%● Taakko shiiqoppa. Taani harggays."
"She approached me in an unfriendly","taakko laggetetti baynna ogiyan shiiqaasu."
"The student has a close relationship with","danddayiyo lo''o gaytotay de'ees."
"They wandered in the city looking for work.","ambban yuuyidosona."
"The dogs were wandering from place to","issisaappe issisaa xuman yuuyoosona."
"She is","place in the dark.%● A Wolaytta giddon ha''i yuuyaydda dawusu."
"Because the compound was enclosed, the thief was","gelanawu danddayibeenna."
"He","unable to enter.%► be transferred%● I kase oottiyosaappe harasaa yuuyiis."
"Blood circulates through our body.","Suuttay nu bollan yuuyees."
"She","into the container, usually for the grain%● A maxiniya gosiyan qolaasu."
"He poured the","put the salt into the container.%● I kattaa koottan qoliis."
"One whose hair is","grain into the barn.%● Huuphee qolettiyo asi bo'atees."
"The school in which he","dismantle%● I tamaarido timirtte keettay qolettiis."
"The house was taken apart.","studied has been dismantled.%● Keettay qolettiis."
"The woman unraveled the yarn.","unravel%● Maccaasiya qacinaa qolaasu."
"The bird hovered in the air.","Kafiya carkkuwa bolla qolaasu."
"She","into the container, usually for the grain%● A maxiniya gosiyan qolaasu."
"He poured the","put the salt into the container.%● I kattaa koottan qoliis."
"One whose hair is","grain into the barn.%● Huuphee qolettiyo asi bo'atees."
"The school in which he","dismantle%● I tamaarido timirtte keettay qolettiis."
"The house was taken apart.","studied has been dismantled.%● Keettay qolettiis."
"The woman unraveled the yarn.","unravel%● Maccaasiya qacinaa qolaasu."
"The bird hovered in the air.","Kafiya carkkuwa bolla qolaasu."
"The children divided the bread","separate%● Naati oyttaa likkiyan shaakkidosona."
"Capitalists don't like to distribute their property.%","shaakkanaw dosokkona."
"It is not acceptable to discriminate","asaappe shaakkiyogee ekettennabaa."
"He intervened between the two quarreling men.","naa""u ooyettiya asata shaakkiis."
"He participated in","%► participate%● I nunaara kompporosiya issppe shaakkiis."
"Several people","the conference with us.%● Haachchi yaa'aa maate asay shiiqqiis."
"The","mereeriis, pohattiis.]%► blossom, open into a flower%● Puuttoy xuuqqiis."
"The volcano erupted.","cotton blossomed.%► erupt%● Biittaa xuussay xuuqqiis."
"People living in","be abundantly blessed%● Mela Wanchchen pulttoy xuuqqees."
"He cracked the whip.","xuussiis."
"Good","lo""o%1. adjective%► 1. good; well; fine%● Lo""o aysoy dichchaassi baaso."
"Fresh air is important for good health.","go''ees."
"We were good friends. We have known","issuwara daro wodiyappe doommin erettida."
"Good food","each other for a long time.%● Lo''o qumay nu payyatettaa loyttees."
"beautiful weather%(syn) [kosho.]","improves our health.%● lo''o carkkuwa hanotaa"
"a beautiful flower","lo""o ciishshaa"
"She wore an elegant dress.%(syn) [salddida.]","lo""iya qamisiya maayaasu."
"He is rich; he","miishshaa%1. noun%► money%● I dure; assi daro miishshay de'ees."
"If I have enough money, I will buy a car.","shammana."
"I spent a lot of money buying books.%(syn)","shammanawu daro miishshaa kessays."
"A carpenter","substance%● Anaaxee dumma dumma miishshata miittaappe oottees."
"This equipment does not","makes tools from wood.%● Ha miishshay keehi gam""enna."
"measuring unit","last long.%► object; unit%● makkiyo miishshaa"
"A forgetful person","to another%● Doganchcha asi ekkidobaa elle guye zaarenna."
"Why don't you give back the book I lent you two","maxaafaa ayssi zaarikkii?"
"You should repay","weeks ago?%● Neeni appe tal""ado miishshaa zaaranawu bessees."
"I returned the book I borrowed from the library.","zaaraas."
"He","answer (to a statement)%● I ta xaafido dabidaabbiyaw aybanne zaarenna."
"She","never responded to any of my letters.%● A ta oyshaa miichchan zaaraasu."
"You haven't answered","only replied with a smile.%● Ne ta oyshshaa zaarabaakka."
"She responded to his","my question.%● A A dabidaabbiya yiilluwan zaaraasu."
"Please,","letter angrily.%► restore%● Komppiiteriya poroogiraamiya zaara."
"She untied and gave a bundle of grass to the","birshshada miizzawu yeggaasu."
"After he was","cows.%► set free%● I qashetti simmin kawotettay A birshshiis."
"The girl broke her promise when","doommin, aara diya qaalaa caaquwa birshshaasu."
"We translated","dariya bagga Wolayttatto qaalaa Inggilizettuwan birsghshida."
"You have to analyze this idea.","Neeni ha qofaa birshshanaw bessaasa."
"I am unable","settle%● Taani azinaanne machchee metuwa birshshana danddayikke."
"He planned to forge the metal into the","qottan birataa qoxxanawu halchchiis."
"The villagers caught and","desired shape.%● Heera asay kaysuwa oyqqidi qoxxiis."
"The","beat the thief.%(syn) [qiwu'ayiis.]%► mold%● Wogaacee birataa qoxxees."
"She mashed the yam.","blacksmith molds iron.%► mash%● Boynaa qoxxaasu."
"We thresh the grain on the floor.","husk%● Nuuni wuygen kattaa qoxxeettees."
"The goat became fat after it","castrate%● Deeshsha orggee qoxxi simmin orddiis."
"I have a serious headache.","huuphee keehi qoxxees."
"He planned to forge the metal into the","qottan birataa qoxxanawu halchchiis."
"The villagers caught and","desired shape.%● Heera asay kaysuwa oyqqidi qoxxiis."
"The","beat the thief.%(syn) [qiwu'ayiis.]%► mold%● Wogaacee birataa qoxxees."
"She mashed the yam.","blacksmith molds iron.%► mash%● Boynaa qoxxaasu."
"We thresh the grain on the floor.","husk%● Nuuni wuygen kattaa qoxxeettees."
"The goat became fat after it","castrate%● Deeshsha orggee qoxxi simmin orddiis."
"I have a serious headache.","huuphee keehi qoxxees."
"I promise not to be late again.","maacays."
"The","He promised that he will be home on time.%● Na'iya A gelanawu maacaasu."
"I can't decide what to do","Ha""i ta ay oottanaakkonne maacanawu danddayikke."
"He decided to leave this","now.%● I wontto ha keettaa yeddanawu maaci denddiis."
"Have you agreed to finish this work with in one week?","maacadii?"
"The boy and the girl agreed to","na'eera gelettanawu ekettanawu maacettidosona."
"Have you decided to come","be married.%● Ne guyeppe simmada yaanawu maacadii?"
"Handiness is a","dexterousness%● Hiillay issibaa oottanawu qarattiyo ogiya."
"Skill is needed when building a fence.","diriyo wode, hiillaa koshshees."
"manual dexterity","using the hands and manipulating objects%● kushe hiillaa"
"If a tanner scrapes a hide, it","tanner%● Hiillay galbbaa qaacikko, looxigees."
"A potter makes clay kettles and","pottery%● Jabanaanne otuwa hiillay medhdhees."
"A blacksmith has the ability to produce pots and","medhdhiyo eratettay de'ees."
"The students","gidanawu koshshees shin hanno gakkanawu zabbaa gelibookkona."
"The house is neat; you can come in.%","Keettay geeyiis; gelanaw danddayeetta"
"Poverty has forced him to beg.","woosaw gelissiis."
"She married him.","got in trouble.%2. transitive verb%► marry%● A A gelaasu."
"The girl, whose","Aayyiya oydu aginappe kase hayqqido na'iya azinaa, gelawsu."
"Have you understood what I have said?%3. intransitive verb","neessi gelidee?"
"The baby's body was injured.","geliis."
"A dull ax is not able to cut the tree.","danddayenna."
"She cut her finger on a piece of glass.%(syn) [siifiis,","biradhdhiya qanxxaasu."
"I will pay","work, goods, services, etc.%● Taani tiikkeetiya miishshaa qanxxana."
"If the debt is","for the tickets.%● Acoy qanxxettikko, naa''antto oyshettaka."
"If a student abandons education to do","simmikko, hegee sintta deettawu xube."
"It is wise to attend class without stopping.","kaalliyogee eratetta."
"She","Hiyyeesatettaara baaxettanawu qanxxaasu; hegaassi A afkaato kiyaasu."
"He lost","goofiniya ajaajjee oyqqin, sijaaraa sarbbuwa hidootaa hidqanxxiis."
"Tie the dog with a rope or chain.","woykko sanssalatan qachcha."
"After collecting firewood the boy bundled it.%","mittaa mixi simmidi qachchiis."
"He","(syn) [zebbiis, xephiis, yiiciis.]%► screw%● I alggaa bilooniyan qachchiis."
"He","screwed the bed frame together.%► wear (necktie)%● I karabaatiya qachchiis."
"He who breaks the law could be imprisoned.","qashettana danddayees."
"The bandit was arrested for the robbery and put in","bogiya gaasuwan qashettiis."
